EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
RM732,20,18-25,Yes,Travel_Rarely,1097.0,Research & Development,11.0,3.0,Medical,1.0,1016.0,4.0,Female,98.0,2.0,1.0,Research Scientist,1.0,Single,2600.0,Upto 5k,18275.0,1.0,Y,Yes,15.0,3.0,1.0,80.0,0.0,1.0,2,3.0,1.0,0,0.0,0.0
RM777,20,18-25,Yes,Travel_Frequently,769.0,Sales,9.0,3.0,Marketing,1.0,1077.0,4.0,Female,54.0,3.0,1.0,Sales Representative,4.0,Single,2323.0,Upto 5k,17205.0,1.0,Y,Yes,14.0,3.0,2.0,80.0,0.0,2.0,3,3.0,2.0,2,0.0,2.0
RM857,20,18-25,No,Travel_Rarely,805.0,Research & Development,3.0,3.0,Life Sciences,1.0,1198.0,1.0,Male,87.0,2.0,1.0,Laboratory Technician,3.0,Single,3033.0,Upto 5k,12828.0,1.0,Y,No,12.0,3.0,1.0,80.0,0.0,2.0,2,2.0,2.0,2,1.0,2.0
RM877,20,18-25,No,Travel_Rarely,654.0,Sales,21.0,3.0,Marketing,1.0,1226.0,3.0,Male,43.0,4.0,1.0,Sales Representative,4.0,Single,2678.0,Upto 5k,5050.0,1.0,Y,No,17.0,3.0,4.0,80.0,0.0,2.0,2,3.0,2.0,1,2.0,2.0
RM1179,20,18-25,No,Travel_Rarely,1141.0,Sales,2.0,3.0,Medical,1.0,1657.0,3.0,Female,31.0,3.0,1.0,Sales Representative,3.0,Single,2783.0,Upto 5k,13251.0,1.0,Y,No,19.0,3.0,1.0,80.0,0.0,2.0,3,3.0,2.0,2,2.0,2.0
RM1198,20,18-25,No,Travel_Rarely,727.0,Sales,9.0,1.0,Life Sciences,1.0,1680.0,4.0,Male,54.0,3.0,1.0,Sales Representative,1.0,Single,2728.0,Upto 5k,21082.0,1.0,Y,No,11.0,3.0,1.0,80.0,0.0,2.0,3,3.0,2.0,2,0.0,2.0
RM024,21,18-25,No,Travel_Rarely,391.0,Research & Development,15.0,2.0,Life Sciences,1.0,30.0,3.0,Male,96.0,3.0,1.0,Research Scientist,4.0,Single,1232.0,Upto 5k,19281.0,1.0,Y,No,14.0,3.0,4.0,80.0,0.0,0.0,6,3.0,0.0,0,0.0,4.112050739957716
RM275,21,18-25,No,Travel_Rarely,996.0,Research & Development,3.0,2.0,Medical,1.0,379.0,4.0,Male,100.0,2.0,1.0,Research Scientist,3.0,Single,3230.0,Upto 5k,10531.0,1.0,Y,No,17.0,3.0,1.0,80.0,0.0,3.0,4,4.0,3.0,2,1.0,0.0
RM358,21,18-25,Yes,Travel_Frequently,756.0,Sales,1.0,1.0,Technical Degree,1.0,478.0,1.0,Female,99.0,2.0,1.0,Sales Representative,2.0,Single,2174.0,Upto 5k,9150.0,1.0,Y,Yes,11.0,3.0,3.0,80.0,0.0,3.0,3,3.0,3.0,2,1.0,2.0
RM363,21,18-25,No,Non-Travel,895.0,Sales,9.0,2.0,Medical,1.0,484.0,1.0,Male,39.0,3.0,1.0,Sales Representative,4.0,Single,2610.0,Upto 5k,2851.0,1.0,Y,No,24.0,4.0,3.0,80.0,0.0,3.0,3,2.0,3.0,2,2.0,4.112050739957716
RM371,21,18-25,Yes,Travel_Rarely,156.0,Sales,12.0,3.0,Life Sciences,1.0,494.0,3.0,Female,90.0,4.0,1.0,Sales Representative,2.0,Single,2716.0,Upto 5k,25422.0,1.0,Y,No,15.0,3.0,4.0,80.0,0.0,1.0,0,3.0,1.0,0,0.0,0.0
RM497,21,18-25,No,Travel_Rarely,1343.0,Sales,22.0,1.0,Technical Degree,1.0,669.0,3.0,Male,49.0,3.0,1.0,Sales Representative,3.0,Single,3447.0,Upto 5k,24444.0,1.0,Y,No,11.0,3.0,3.0,80.0,0.0,3.0,2,3.0,3.0,2,1.0,2.0
RM664,21,18-25,Yes,Travel_Rarely,1427.0,Research & Development,18.0,1.0,Other,1.0,923.0,4.0,Female,65.0,3.0,1.0,Research Scientist,4.0,Single,2693.0,Upto 5k,8870.0,1.0,Y,No,19.0,3.0,1.0,80.0,0.0,1.0,3,2.0,1.0,0,2.1891525423728813,0.0
RM778,21,18-25,Yes,Travel_Rarely,1334.0,Research & Development,10.0,3.0,Life Sciences,1.0,1079.0,3.0,Female,36.0,2.0,1.0,Laboratory Technician,1.0,Single,1416.0,Upto 5k,17258.0,1.0,Y,No,13.0,3.0,1.0,80.0,0.0,1.0,6,2.0,1.0,0,1.0,0.0
RM816,21,18-25,No,Travel_Rarely,984.0,Research & Development,1.0,1.0,Technical Degree,1.0,1131.0,4.0,Female,70.0,2.0,1.0,Research Scientist,2.0,Single,2070.0,Upto 5k,25326.0,1.0,Y,Yes,11.0,3.0,3.0,80.0,0.0,2.0,6,4.0,2.0,2,2.0,2.0
RM916,21,18-25,Yes,Travel_Frequently,251.0,Research & Development,10.0,2.0,Life Sciences,1.0,1279.0,1.0,Female,45.0,2.0,1.0,Laboratory Technician,3.0,Single,2625.0,Upto 5k,25308.0,1.0,Y,No,20.0,4.0,3.0,80.0,0.0,2.0,2,1.0,2.0,2,2.0,2.0
RM1153,21,18-25,No,Travel_Rarely,546.0,Research & Development,5.0,1.0,Medical,1.0,1623.0,3.0,Male,97.0,3.0,1.0,Research Scientist,4.0,Single,3117.0,Upto 5k,26009.0,1.0,Y,No,18.0,3.0,3.0,80.0,0.0,3.0,2,3.0,2.0,2,2.0,2.0
RM1272,21,18-25,Yes,Travel_Rarely,337.0,Sales,7.0,1.0,Marketing,1.0,1780.0,2.0,Male,31.0,3.0,1.0,Sales Representative,2.0,Single,2679.0,Upto 5k,4567.0,1.0,Y,No,13.0,3.0,2.0,80.0,0.0,1.0,3,3.0,1.0,0,1.0,0.0
RM1437,21,18-25,No,Travel_Rarely,501.0,Sales,5.0,1.0,Medical,1.0,2021.0,3.0,Male,58.0,3.0,1.0,Sales Representative,1.0,Single,2380.0,Upto 5k,25479.0,1.0,Y,Yes,11.0,3.0,4.0,80.0,0.0,2.0,6,3.0,2.0,2,1.0,2.0
RM018,22,18-25,No,Non-Travel,1123.0,Research & Development,16.0,2.0,Medical,1.0,22.0,4.0,Male,96.0,4.0,1.0,Laboratory Technician,4.0,Divorced,2935.0,Upto 5k,7324.0,1.0,Y,Yes,13.0,3.0,2.0,80.0,2.0,1.0,2,2.0,1.0,0,0.0,0.0
RM110,22,18-25,No,Travel_Rarely,534.0,Research & Development,15.0,3.0,Medical,1.0,144.0,2.0,Female,59.0,3.0,1.0,Laboratory Technician,4.0,Single,2871.0,Upto 5k,23785.0,1.0,Y,No,15.0,3.0,3.0,80.0,0.0,1.0,5,3.0,0.0,0,0.0,0.0
RM129,22,18-25,No,Travel_Rarely,594.0,Research & Development,2.0,1.0,Technical Degree,1.0,169.0,3.0,Male,100.0,3.0,1.0,Laboratory Technician,4.0,Married,2523.0,Upto 5k,19299.0,0.0,Y,No,14.0,3.0,3.0,80.0,1.0,3.0,2,3.0,2.0,1,2.0,1.0
RM161,22,18-25,No,Travel_Rarely,1256.0,Research & Development,19.0,1.0,Medical,1.0,217.0,3.0,Male,80.0,3.0,1.0,Research Scientist,4.0,Married,2323.0,Upto 5k,11992.0,1.0,Y,No,24.0,4.0,1.0,80.0,2.0,2.0,6,3.0,2.0,2,2.0,2.0
RM207,22,18-25,No,Travel_Rarely,1136.0,Research & Development,5.0,3.0,Life Sciences,1.0,284.0,4.0,Male,60.0,4.0,1.0,Research Scientist,2.0,Divorced,2328.0,Upto 5k,12392.0,1.0,Y,Yes,16.0,3.0,1.0,80.0,1.0,4.0,2,2.0,4.0,2,2.0,4.112050739957716
RM384,22,18-25,No,Travel_Rarely,253.0,Research & Development,11.0,3.0,Medical,1.0,511.0,1.0,Female,43.0,3.0,1.0,Research Scientist,2.0,Married,2244.0,Upto 5k,24440.0,1.0,Y,No,13.0,3.0,4.0,80.0,1.0,2.0,1,3.0,2.0,1,1.0,2.0
RM444,22,18-25,Yes,Travel_Frequently,1368.0,Research & Development,4.0,1.0,Technical Degree,1.0,593.0,3.0,Male,99.0,2.0,1.0,Laboratory Technician,3.0,Single,3894.0,Upto 5k,9129.0,5.0,Y,No,16.0,3.0,3.0,80.0,0.0,4.0,3,3.0,2.0,2,1.0,2.0
RM499,22,18-25,No,Travel_Rarely,604.0,Research & Development,6.0,1.0,Medical,1.0,675.0,1.0,Male,69.0,3.0,1.0,Research Scientist,3.0,Married,2773.0,Upto 5k,12145.0,0.0,Y,No,20.0,4.0,4.0,80.0,0.0,3.0,3,3.0,2.0,2,2.0,2.0
RM631,22,18-25,No,Travel_Rarely,1230.0,Research & Development,1.0,2.0,Life Sciences,1.0,872.0,4.0,Male,33.0,2.0,2.0,Manufacturing Director,4.0,Married,4775.0,Upto 5k,19146.0,6.0,Y,No,22.0,4.0,1.0,80.0,2.0,4.0,2,1.0,2.0,2,2.0,2.0
RM667,22,18-25,Yes,Travel_Rarely,617.0,Research & Development,3.0,1.0,Life Sciences,1.0,926.0,2.0,Female,34.0,3.0,2.0,Manufacturing Director,3.0,Married,4171.0,Upto 5k,10022.0,0.0,Y,Yes,19.0,3.0,1.0,80.0,1.0,4.0,3,4.0,3.0,2,0.0,2.0
RM735,22,18-25,No,Travel_Rarely,217.0,Research & Development,8.0,1.0,Life Sciences,1.0,1019.0,2.0,Male,94.0,1.0,1.0,Laboratory Technician,1.0,Married,2451.0,Upto 5k,6881.0,1.0,Y,No,15.0,3.0,1.0,80.0,1.0,4.0,3,2.0,4.0,3,1.0,1.0
RM861,22,18-25,Yes,Travel_Frequently,1256.0,Research & Development,3.0,4.0,Life Sciences,1.0,1203.0,3.0,Male,48.0,2.0,1.0,Research Scientist,4.0,Married,2853.0,Upto 5k,4223.0,0.0,Y,Yes,11.0,3.0,2.0,80.0,1.0,1.0,5,3.0,0.0,0,0.0,0.0
RM1138,-22,18-25,No,Non-Travel,457.0,Research & Development,26.0,2.0,Other,1.0,1605.0,2.0,Female,85.0,2.0,1.0,Research Scientist,3.0,Married,2814.0,Upto 5k,10293.0,1.0,Y,Yes,14.0,3.0,2.0,80.0,0.0,4.0,2,2.0,4.0,2,1.0,3.0
RM1274,22,18-25,Yes,Travel_Rarely,1294.0,Research & Development,8.0,1.0,Medical,1.0,1783.0,3.0,Female,79.0,3.0,1.0,Laboratory Technician,1.0,Married,2398.0,Upto 5k,15999.0,1.0,Y,Yes,17.0,3.0,3.0,80.0,0.0,1.0,6,3.0,1.0,0,0.0,0.0
RM1340,22,18-25,Yes,Travel_Rarely,391.0,Research & Development,7.0,1.0,Life Sciences,1.0,1878.0,4.0,Male,75.0,3.0,1.0,Research Scientist,2.0,Single,2472.0,Upto 5k,26092.0,1.0,Y,Yes,23.0,4.0,1.0,80.0,0.0,1.0,2,3.0,1.0,0,0.0,0.0
RM1424,22,18-25,No,Travel_Rarely,581.0,Research & Development,1.0,2.0,Life Sciences,1.0,2007.0,4.0,Male,63.0,3.0,1.0,Research Scientist,3.0,Single,3375.0,Upto 5k,17624.0,0.0,Y,No,12.0,3.0,4.0,80.0,0.0,4.0,2,4.0,3.0,2,1.0,2.0
RM087,23,18-25,No,Travel_Rarely,541.0,Sales,2.0,1.0,Technical Degree,1.0,113.0,3.0,Male,62.0,3.0,1.0,Sales Representative,1.0,Divorced,2322.0,Upto 5k,9518.0,3.0,Y,No,13.0,3.0,3.0,80.0,1.0,3.0,3,3.0,0.0,0,0.0,0.0
RM346,23,18-25,No,Travel_Rarely,1309.0,Research & Development,26.0,1.0,Life Sciences,1.0,465.0,3.0,Male,83.0,3.0,1.0,Research Scientist,4.0,Divorced,2904.0,Upto 5k,16092.0,1.0,Y,No,12.0,3.0,3.0,80.0,2.0,4.0,2,2.0,4.0,2,0.0,2.0
RM517,23,18-25,No,Travel_Rarely,885.0,Research & Development,4.0,3.0,Medical,1.0,705.0,1.0,Male,58.0,4.0,1.0,Research Scientist,1.0,Married,2819.0,Upto 5k,8544.0,2.0,Y,No,16.0,3.0,1.0,80.0,1.0,5.0,3,4.0,3.0,2,0.0,2.0
RM551,23,18-25,No,Travel_Rarely,650.0,Research & Development,9.0,1.0,Medical,1.0,758.0,2.0,Male,37.0,3.0,1.0,Laboratory Technician,1.0,Married,2500.0,Upto 5k,4344.0,1.0,Y,No,14.0,3.0,4.0,80.0,1.0,5.0,2,4.0,4.0,3,0.0,2.0
RM566,23,18-25,No,Travel_Rarely,310.0,Research & Development,10.0,1.0,Medical,1.0,784.0,1.0,Male,79.0,4.0,1.0,Research Scientist,3.0,Single,3505.0,Upto 5k,19630.0,1.0,Y,No,18.0,3.0,4.0,80.0,0.0,2.0,3,3.0,2.0,2,0.0,2.0
RM586,23,18-25,Yes,Travel_Rarely,1243.0,Research & Development,6.0,3.0,Life Sciences,1.0,811.0,3.0,Male,63.0,4.0,1.0,Laboratory Technician,1.0,Married,1601.0,Upto 5k,3445.0,1.0,Y,Yes,21.0,4.0,3.0,80.0,2.0,1.0,2,3.0,0.0,0,0.0,0.0
RM911,-23,18-25,No,Travel_Rarely,373.0,Research & Development,1.0,2.0,Life Sciences,1.0,1270.0,4.0,Male,47.0,3.0,1.0,Research Scientist,3.0,Married,1223.0,Upto 5k,16901.0,1.0,Y,No,22.0,4.0,4.0,80.0,1.0,1.0,2,3.0,1.0,0,0.0,1.0
RM1083,23,18-25,No,Travel_Rarely,507.0,Research & Development,20.0,1.0,Life Sciences,1.0,1533.0,1.0,Male,97.0,3.0,2.0,Laboratory Technician,3.0,Single,2272.0,Upto 5k,24812.0,0.0,Y,No,14.0,3.0,2.0,80.0,0.0,5.0,2,3.0,4.0,3,1.0,2.0
RM1128,23,18-25,No,Travel_Rarely,977.0,Research & Development,10.0,3.0,Technical Degree,1.0,1592.0,4.0,Male,45.0,4.0,1.0,Research Scientist,3.0,Married,2073.0,Upto 5k,12826.0,2.0,Y,No,16.0,3.0,4.0,80.0,1.0,4.0,2,3.0,2.0,2,2.0,2.0
RM1202,23,18-25,Yes,Travel_Rarely,1320.0,Research & Development,8.0,1.0,Medical,1.0,1684.0,4.0,Male,93.0,2.0,1.0,Laboratory Technician,3.0,Single,3989.0,Upto 5k,20586.0,1.0,Y,Yes,11.0,3.0,1.0,80.0,0.0,5.0,2,3.0,5.0,4,1.0,2.0
RM1214,23,18-25,Yes,Travel_Rarely,427.0,Sales,7.0,3.0,Life Sciences,1.0,1702.0,3.0,Male,99.0,3.0,1.0,Sales Representative,4.0,Divorced,2275.0,Upto 5k,25103.0,1.0,Y,Yes,21.0,4.0,2.0,80.0,1.0,3.0,2,3.0,3.0,2,0.0,2.0
RM1239,23,18-25,No,Travel_Rarely,160.0,Research & Development,4.0,1.0,Medical,1.0,1735.0,3.0,Female,51.0,3.0,1.0,Laboratory Technician,2.0,Single,3295.0,Upto 5k,12862.0,1.0,Y,No,13.0,3.0,3.0,80.0,0.0,3.0,3,1.0,3.0,2,1.0,2.0
RM1409,23,18-25,No,Travel_Rarely,571.0,Research & Development,12.0,2.0,Other,1.0,1982.0,4.0,Male,78.0,3.0,1.0,Laboratory Technician,4.0,Single,2647.0,Upto 5k,13672.0,1.0,Y,No,13.0,3.0,3.0,80.0,0.0,5.0,6,4.0,5.0,2,1.0,4.0
RM1439,23,18-25,Yes,Travel_Frequently,638.0,Sales,9.0,3.0,Marketing,1.0,2023.0,4.0,Male,33.0,3.0,1.0,Sales Representative,1.0,Married,1790.0,Upto 5k,26956.0,1.0,Y,No,19.0,3.0,1.0,80.0,1.0,1.0,3,2.0,1.0,0,1.0,0.0
RM021,24,18-25,No,Non-Travel,673.0,Research & Development,11.0,2.0,Other,1.0,26.0,1.0,Female,96.0,4.0,2.0,Manufacturing Director,3.0,Divorced,4011.0,Upto 5k,8232.0,0.0,Y,No,18.0,3.0,4.0,80.0,1.0,5.0,5,2.0,4.0,2,1.0,3.0
RM035,24,18-25,Yes,Travel_Rarely,813.0,Research & Development,1.0,3.0,Medical,1.0,45.0,2.0,Male,61.0,3.0,1.0,Research Scientist,4.0,Married,2293.0,Upto 5k,3020.0,2.0,Y,Yes,16.0,3.0,1.0,80.0,1.0,6.0,2,2.0,2.0,0,2.0,0.0
RM097,24,18-25,No,Travel_Rarely,1353.0,Sales,3.0,2.0,Other,1.0,128.0,1.0,Female,33.0,3.0,2.0,Sales Executive,3.0,Married,4999.0,Upto 5k,17519.0,0.0,Y,No,21.0,4.0,1.0,80.0,1.0,4.0,2,2.0,3.0,2,0.0,2.0
RM114,24,18-25,No,Travel_Rarely,1127.0,Research & Development,18.0,1.0,Life Sciences,1.0,150.0,2.0,Male,52.0,3.0,1.0,Laboratory Technician,3.0,Married,2774.0,Upto 5k,13257.0,0.0,Y,No,12.0,3.0,3.0,80.0,1.0,6.0,2,3.0,5.0,3,1.0,2.0
RM381,24,18-25,No,Travel_Rarely,1371.0,Sales,10.0,4.0,Marketing,1.0,507.0,4.0,Female,77.0,3.0,2.0,Sales Executive,3.0,Divorced,4260.0,Upto 5k,5915.0,1.0,Y,Yes,12.0,3.0,4.0,80.0,1.0,5.0,2,4.0,5.0,2,0.0,3.0
RM415,24,18-25,Yes,Travel_Rarely,1448.0,Sales,1.0,1.0,Technical Degree,1.0,554.0,1.0,Female,62.0,3.0,1.0,Sales Representative,2.0,Single,3202.0,Upto 5k,21972.0,1.0,Y,Yes,16.0,3.0,2.0,80.0,0.0,6.0,4,3.0,5.0,3,1.0,4.0
RM471,24,18-25,No,Travel_Frequently,535.0,Sales,24.0,3.0,Medical,1.0,632.0,4.0,Male,38.0,3.0,1.0,Sales Representative,4.0,Married,2400.0,Upto 5k,5530.0,0.0,Y,No,13.0,3.0,3.0,80.0,2.0,3.0,3,3.0,2.0,2,2.0,1.0
RM475,24,18-25,No,Travel_Rarely,691.0,Research & Development,23.0,3.0,Medical,1.0,639.0,2.0,Male,89.0,4.0,1.0,Research Scientist,4.0,Married,2725.0,Upto 5k,21630.0,1.0,Y,Yes,11.0,3.0,2.0,80.0,2.0,6.0,3,3.0,6.0,5,1.0,4.0
RM477,24,18-25,No,Travel_Rarely,823.0,Research & Development,17.0,2.0,Other,1.0,643.0,4.0,Male,94.0,2.0,1.0,Laboratory Technician,2.0,Married,2127.0,Upto 5k,9100.0,1.0,Y,No,21.0,4.0,4.0,80.0,1.0,1.0,2,3.0,1.0,0,0.0,0.0
RM480,24,18-25,Yes,Travel_Frequently,1287.0,Research & Development,7.0,3.0,Life Sciences,1.0,647.0,1.0,Female,55.0,3.0,1.0,Laboratory Technician,3.0,Married,2886.0,Upto 5k,14168.0,1.0,Y,Yes,16.0,3.0,4.0,80.0,1.0,6.0,4,3.0,6.0,3,1.0,2.0
RM526,24,18-25,Yes,Travel_Rarely,693.0,Sales,3.0,2.0,Life Sciences,1.0,720.0,1.0,Female,65.0,3.0,2.0,Sales Executive,3.0,Single,4577.0,Upto 5k,24785.0,9.0,Y,No,14.0,3.0,1.0,80.0,0.0,4.0,3,3.0,2.0,2,2.0,0.0
RM587,24,18-25,No,Non-Travel,1092.0,Research & Development,9.0,3.0,Life Sciences,1.0,812.0,3.0,Male,60.0,2.0,1.0,Laboratory Technician,2.0,Divorced,2694.0,Upto 5k,26551.0,1.0,Y,No,11.0,3.0,3.0,80.0,3.0,1.0,4,3.0,1.0,0,0.0,0.0
RM641,24,18-25,No,Non-Travel,1269.0,Research & Development,4.0,1.0,Life Sciences,1.0,888.0,1.0,Male,46.0,2.0,1.0,Laboratory Technician,4.0,Married,3162.0,Upto 5k,10778.0,0.0,Y,No,17.0,3.0,4.0,80.0,0.0,6.0,2,2.0,5.0,2,3.0,4.0
